nombre comercial,direccion,código postal,zona,teléfono,fax,email,web,contacto,sector,actividad1,actividad2,lat,lon
"EXCOM","AV VALDELAPARRA (DE) 27 -2ª PLANTA  OFICINA 4",28100,"POLIGONO INDUSTRIAL",902020234 / 911437935,NO DISPONIBLE,"info@excom.es","http://www.excom.es","NO DISPONIBLE","","INFORMATICA","TELECOMUNICACIONES",40.53889230,-3.64696818
"1 2 3 COACH","CL RAMON Y CAJAL (DE) 5 - OFICINA 25 B",28100,"CENTRO DE EMPRESAS",+34639959685,NO DISPONIBLE,"123coachacademy@gmail.com","http://www.123coachacademy.com","DAVID MARTIN-MAESTRO FERNANDEZ","","ACADEMIAS, FORMACION. IDIOMAS. TRADUCCIONES TECNICAS","FORMACION TECNICOS DEPORTIVOS. GESTION DEPORTIVA. EVENTOS DEPORTIVOS",40.54272865,-3.65266376
"1 MAS 1 COMUNICACIÓN","CR FUENCARRAL (DE) 44 EDF. 9, LOCAL 1",28108,"POLIGONO INDUSTRIAL",+34912190836,NO DISPONIBLE,"rebeca.gomez@comunicacion1mas1.com","http://www.comunicacion1mas1.com","REBECA GOMEZ","","PUBLICIDAD, MARKETING, SONIDO, CINE, TV, FERIAS, EVENTOS  Y CONGRESOS","EMPRESA DE COMUNICACIÓN",40.51888227,-3.65470622
"1&1 INTERNET ESPAÑA","AV VEGA (DE LA) 1 PISO 5, PUERTA C, EDF. VEGANOVA",28100,"ARROYO DE LA VEGA",912177896 /  902585111,+34902023296,"info@1&1.es","http://www.1and1.es","NO DISPONIBLE","","ELECTRICIDAD, ELECTRONICA, AUDIO Y TELECOMUNICACIONES","ASESORAMIENTO, DISTRIBUCION DE PRODUCTOS DE TELECOMUNICACION",40.52433701,-3.63873734
"3PORQUINCE","CR FUENCARRAL (DE) 56 OFICINA 99, 3ºPLANTA",28108,"POLIGONO INDUSTRIAL",+34916294088,NO DISPONIBLE,"info@3porquince.com","http://www.3porquince.com","MOISES CHOCRON","","MANIPULACION Y DISTRIBUCION DE MADERA, PLASTICO, VIDRIO, PAPEL Y CARTON","IMPORTACION, COMERCIALIZACION, PACKAGING: CAJAS Y BOLSOS DE TODO TIPO DE MATERIALES",40.51888227,-3.65470622
"5.0 ARQUITECTOS","CR FUENCARRAL (DE) 44 EDF. 7, OFICINA 37",28108,"POLIGONO INDUSTRIAL",+34916638943,NO DISPONIBLE,"info@cincopuntocero.es","http://www.cincopuntocero.es","RUTH MONTERO / LAURA CAMARA","","ESTUDIOS DE DELINEACION, ARQUITECTURA, LICENCIAS DE APERTURA, URBANISMO Y DISEÑO. INGENIERIAS, PROYECTOS","ARQUITECTURA",40.51888227,-3.65470622
"A.D.T. S.A","CL ARAGONESES (DE LOS) 12",28108,"POLIGONO INDUSTRIAL",+34916610908,+34916613118,"vrojo@adt.es","http://www.adt.es","VALENTIN ROJO","","LOGISTICA Y ALMACENAJE","ALMACENAMIENTO, DISTRIBUCION Y TRANSPORTE",40.52168940,-3.66322126
"A.D.T.OPERADOR LOGISTICO","CL SAN JOSE ARTESANO (DE) 1",28108,"POLIGONO INDUSTRIAL",+34916610781,+34916613105,"comercial@adt.es","http://www.adt.es","ALEJANDRO DOPACIO","","LOGISTICA Y ALMACENAJE","ALMACENAMIENTO, DISTRIBUCION Y TRANSPORTE DE MERCANCIAS",40.52979004,-3.65666286
"A.S.P. ELECTRONIC","AV DOCTOR SEVERO OCHOA (DEL) 43 - LOCAL I",28100,"PARQUE EMP. CASABLANCA",+34916619795,+34916624339,"info@asp-electronic.com","http://www.asp-electronic.com","ANTONIO PATIÑO","","ESTUDIOS DE DELINEACION, ARQUITECTURA, LICENCIAS DE APERTURA, URBANISMO Y DISEÑO. INGENIERIAS, PROYECTOS","ELECTRONICA Y DESARROLLO DE INGENIERIA",40.54136708,-3.65367784
"AAB LIMPIEZAS MADRILEÑAS","CL REYES CATOLICOS (DE LOS) 4 - 6 - NAVE 3",28108,"POLIGONO INDUSTRIAL",916615551/916615552,+34916617000,"marisa@grupoaab.com","http://www.aablimpiezas.com","MARISA CASTAÑO","","LIMPIEZAS: GENERAL Y URBANA. POCEROS. LAVADO DE VEHICULOS","DESATASCOS",40.53634981,-3.65109787
