App,Rating,Reviews,Installs,Price,Genres,Last Updated
3D Digital Clock Live Wallpaper7,4,159,"10,000+",0,Art & Design,"January 7, 2018"
Accounting CSV super simple to track finances,3,967,"500,000+",0,Art & Design,Pretend Play
Accurate Barometer,4,87510,"5,000,000+",0,Art & Design,"August 1, 2018"
Accurate Compass,4,215644,"50,000,000+",0,Art & Design,"June 8, 2018"
Activ5,4,967,"100,000+",0,Art & Design,Creativity
ActivityTracker  Step Counter  Pedometer,4,167,"50,000+",0,Art & Design,"March 26, 2017"
Adobe Analytics dashboards,3,178,"50,000+",0,Art & Design,"April 26, 2018"
Adobe Scan PDF Scanner with OCR PDF Creator,4,36815,"1,000,000+",0,Art & Design,"June 14, 2018"
Adobe Summit EMEA 2019,4,13791,"1,000,000+",0,Art & Design,"September 20, 2017"
AdoboReador,4,121,"10,000+",0,Art & Design,Creativity
AGCO Tech Connect,4,13880,"1,000,000+",0,Art & Design,"October 27, 2017"
All PDF  PDF Reader PDF Viewer  PDF Converter,4,8788,"1,000,000+",0,Art & Design,"July 31, 2018"
Alliance Payroll MyPay,4,44829,"10,000,000+",0,Art & Design,"April 2, 2018"
Altimeter Pro,4,4326,"100,000+",0,Art & Design,"June 26, 2018"
AlwaysOn® Wellness,4,1518,"100,000+",0,Art & Design,"August 3, 2018"
Android TV Home,3,55,"5,000+",0,Art & Design,"June 6, 2018"
AndroXLS editor for XLS sheets,4,3632,"500,000+",0,Art & Design,"July 31, 2018"
Annotate  Image Annotation Tool,4,27,"10,000+",0,Art & Design,"November 7, 2017"
Anytime Mailbox Mail Center,4,194216,"5,000,000+",0,Art & Design,"August 3, 2018"
Anytime Mailbox Renter,4,224399,"10,000,000+",0,Art & Design,"July 30, 2018"
arboleaf,4,450,"100,000+",0,Art & Design,"April 20, 2018"
ATracker Time Tracker Daily habitGoalRoutine,4,654,"100,000+",0,Art & Design,"March 20, 2018"
AuditBricks  Site Auditing Snagging  Punch List,4,7699,"500,000+",0,Art & Design,"July 12, 2018"
Baby Panda Dental Care,3,61,"100,000+",0,Art & Design,Action & Adventure
Baby Sleep Sounds,4,118,"50,000+",0,Art & Design,"July 7, 2018"
BankFirstFed Mobile Banking,4,192,"10,000+",0,Art & Design,"April 25, 2018"
Barcode  QR code Keyboard,4,20260,"500,000+",0,Art & Design,Creativity
Barcode it Checker,4,203,"100,000+",0,Art & Design,"March 21, 2018"
Barcode Scanner Plus,3,136,"10,000+",0,Art & Design,"July 12, 2018"
Barcode To Excel  Barcode  QR Code Scanner,4,223,"100,000+",0,Art & Design,"August 22, 2017"
BeDiet Diety Ewy Chodakowskiej,4,1120,"100,000+",0,Art & Design,"July 12, 2018"
Beurer EMS HomeStudio,4,227,"50,000+",0,Art & Design,"May 31, 2018"
Birthday Calendar,4,5035,"100,000+",0,Art & Design,"July 19, 2018"
BizConnect Business Card Reader  QR Code Scanner,4,1015,"100,000+",0,Art & Design,"January 6, 2018"
Blue Yonder Workforce,4,353,"10,000+",0,Art & Design,"April 27, 2018"
Brief Team Collaboration Tool,3,564,"100,000+",0,Art & Design,"July 11, 2018"
BSign  PDF Digital Signature,4,8145,"500,000+",0,Art & Design,Creativity
Budget Watch,4,36639,"5,000,000+",0,Art & Design,"July 14, 2018"
Business Card Scanner by Covve,4,158,"10,000+",0,Art & Design,"November 29, 2017"
CashFlowpro expense manager,4,591,"500,000+",0,Art & Design,"March 31, 2018"
CashSale POS,4,117,"10,000+",0,Art & Design,"July 20, 2018"
Cezanne HR for Mobile,4,176,"100,000+",0,Art & Design,"April 2, 2018"
Checkin Scan,4,295221,"10,000,000+",0,Art & Design,"July 30, 2018"
CloudLocker,3,2206,"100,000+",0,Art & Design,Creativity
CommandIQ,4,26,"10,000+",0,Art & Design,"January 3, 2018"
Compass Calculator,4,174531,"10,000,000+",0,Art & Design,"July 31, 2018"
Construction Master EZ,4,1070,"100,000+",0,Art & Design,"November 14, 2017"
Cute,4,85,"100,000+",0,Art & Design,"December 17, 2017"
Degree Calculator,4,845,"100,000+",0,Art & Design,"May 28, 2018"
Delta Dental,4,367,"100,000+",0,Auto & Vehicles,"May 10, 2018"
Docs To Go™ Free Office Suite,4,1598,"1,000,000+",0,Auto & Vehicles,"July 26, 2018"
DTE Energy,3,284,"100,000+",0,Auto & Vehicles,"July 26, 2018"
eCharge,4,17057,"1,000,000+",0,Auto & Vehicles,"July 30, 2018"
Electrohelper  Electronics lab in your pocket,3,129,"100,000+",0,Auto & Vehicles,"July 26, 2018"
Excel Reader,4,542,"100,000+",0,Auto & Vehicles,"July 31, 2018"
Expirations,4,10479,"100,000+",0,Auto & Vehicles,"July 18, 2018"
Factorial HR,4,805,"50,000+",0,Auto & Vehicles,"July 29, 2018"
Fast Scanner Pro PDF Doc Scan,4,129,"100,000+",0,Auto & Vehicles,"July 26, 2018"
FatCoupon Automatic PromoCodes,4,1403,"100,000+",0,Auto & Vehicles,"August 26, 2014"
FireBoard®,3,3971,"100,000+",0,Auto & Vehicles,"July 30, 2018"
First Horizon Mobile Banking,4,534,"10,000+",0,Auto & Vehicles,"July 8, 2018"
Fitatu Calorie Counter  Free Weight Loss Tracker,4,7774,"100,000+",0,Auto & Vehicles,"July 3, 2018"
Fluke Connect,4,38846,"1,000,000+",0,Auto & Vehicles,"July 28, 2018"
Fuel Music Player,4,2431,"100,000+",0,Auto & Vehicles,"June 12, 2018"
Gaaiho PDF Reader,4,6090,"100,000+",0,Auto & Vehicles,"July 3, 2018"
gastronovi Office,3,295,"10,000+",0,Auto & Vehicles,"July 30, 2018"
GlucoMen Day CGM RealTime Glucose Monitoring,4,190,"50,000+",0,Auto & Vehicles,"October 14, 2016"
Gofood  Food delivery solution by UAE restaurants,4,40211,"5,000,000+",0,Auto & Vehicles,"July 30, 2018"
Google Slides,3,356,"100,000+",0,Auto & Vehicles,"May 25, 2018"
Google TexttoSpeech,4,52530,"5,000,000+",0,Auto & Vehicles,"July 16, 2018"
Grab  Transport Food Delivery Payments,4,116986,"5,000,000+",0,Auto & Vehicles,"August 2, 2018"
Groupon Merchants,3,1379,"500,000+",0,Auto & Vehicles,"August 2, 2018"
Hass NFC,4,271920,"10,000,000+",0,Auto & Vehicles,"July 11, 2018"
Hot Rod Calc,4,736,"100,000+",0,Auto & Vehicles,"July 29, 2018"
HTTrack Website Copier,4,7021,"500,000+",0,Auto & Vehicles,"July 27, 2018"
Image from Video Grabber7,4,197,"50,000+",0,Auto & Vehicles,"June 14, 2018"
International Steam Tables,4,737,"100,000+",0,Auto & Vehicles,"June 8, 2018"
Internet speed test Meter SpeedTest Master,4,3574,"1,000,000+",0,Auto & Vehicles,"July 4, 2018"
JAVAD Mobile Tools for authorised Receivers,4,994,"100,000+",0,Auto & Vehicles,"March 27, 2018"
Jobonji hire local pros handyman for odd jobs gig,4,197136,"1,000,000+",0,Auto & Vehicles,"July 15, 2018"
JYouPro,3,142,"50,000+",0,Auto & Vehicles,"July 24, 2018"
KioWare for Android Kiosk App  Kiosk Software,4,15168,"1,000,000+",0,Auto & Vehicles,"July 27, 2018"
Laserfiche,4,2155,"500,000+",0,Auto & Vehicles,"July 30, 2018"
Lenze Smart Motor,4,138,"100,000+",0,Auto & Vehicles,"July 23, 2018"
LibreOffice  OpenOffice document reader  ODF,3,5414,"1,000,000+",0,Auto & Vehicles,"July 23, 2018"
Little Panda’s Dream Town,4,21777,"1,000,000+",0,Auto & Vehicles,"August 4, 2018"
Livongo,4,348,"100,000+",0,Auto & Vehicles,"July 29, 2018"
Loftilla Plus,3,250,"100,000+",0,Auto & Vehicles,"April 27, 2018"
Log Dyno  Horsepower and Torque CSV Dyno,4,13372,"1,000,000+",0,Auto & Vehicles,"August 3, 2018"
Loud Player  Audio player,4,7880,"100,000+",0,Auto & Vehicles,"May 10, 2018"
Loud Player Free,4,3617,"100,000+",0,Auto & Vehicles,"May 16, 2018"
Loyalty Card Keychain,3,4806,"1,000,000+",0,Auto & Vehicles,"July 31, 2018"
Mechanics of Materials App,4,65786,"1,000,000+",0,Auto & Vehicles,"August 2, 2018"
MEGA,4,31433,"1,000,000+",0,Auto & Vehicles,"August 2, 2018"
Memento Database,4,5097,"1,000,000+",0,Auto & Vehicles,"July 23, 2018"
Memory Match7,4,1754,"500,000+",0,Auto & Vehicles,"June 2, 2018"
MobileNAV,4,2680,"500,000+",0,Auto & Vehicles,"March 20, 2018"
MSN Sports  Scores  Schedule,4,1288,"100,000+",0,Auto & Vehicles,"April 21, 2018"
My Breast Cancer Coach,4,18900,"500,000+",0,Beauty,"August 2, 2018"
my sonnen,4,49790,"1,000,000+",0,Beauty,"November 9, 2017"
My Transphormation,4,1150,"100,000+",0,Beauty,"May 15, 2018"
MyBlue AZ,3,1739,"500,000+",0,Beauty,"July 12, 2018"
Mysa,3,32090,"1,000,000+",0,Beauty,"October 24, 2016"
myTripPal  record trip expenses,4,2225,"500,000+",0,Beauty,"February 28, 2018"
N Docs  Office PDF Text Markup Ebook Reader,4,4369,"100,000+",0,Beauty,"July 25, 2018"
NorthOne  Business Banking,4,8572,"1,000,000+",0,Beauty,"May 10, 2018"
Office Delve  for Office 365,4,964,"50,000+",0,Beauty,"June 21, 2018"
Office HD Presentations BASIC,4,42050,"1,000,000+",0,Beauty,"June 5, 2018"
